region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
11A14,서남권,202303,1,65.46458739441195,2
11A15,동남권,202303,1,73.39527027027026,2
26000,부산,202303,1,77.4890988372093,0
26A01,동부산권,202303,1,74.5583038869258,1
26A02,중부산권,202303,1,82.42152466367713,1
26A03,서부산권,202303,1,73.66751269035532,1
27000,대구,202303,1,69.38172043010752,0
28000,인천,202303,1,72.99065420560748,0
29000,광주,202303,1,80.57915057915059,0
30000,대전,202303,1,71.16564417177914,0
31000,울산,202303,1,76.32696390658174,0
36000,세종,202303,1,86.7605633802817,0
41000,경기,202303,1,75.72278467800855,0
41A01,서해안권,202303,1,80.66093077825577,1
41A02,경부1권,202303,1,77.32558139534883,1
41A03,경부2권,202303,1,78.56041131105398,1
41A04,경의권,202303,1,66.32302405498282,1
41A05,경원권,202303,1,79.78436657681941,1
41A06,동부1권,202303,1,68.75589066918003,1
41A07,동부2권,202303,1,66.30036630036629,1
42000,강원,202303,1,87.33213965980303,0
43000,충북,202303,1,83.19397993311036,0
44000,충남,202303,1,87.91722296395194,0
45000,전북,202303,1,75.24077046548958,0
46000,전남,202303,1,83.05905130687319,0
47000,경북,202303,1,85.07945850500293,0
48000,경남,202303,1,87.63650546021842,0
50000,제주,202303,1,76.22222222222221,0
A1000,전국,202303,1,77.37222222222223,0
A2000,수도권,202303,1,73.79223517011185,0
A2001,지방권,202303,1,80.60296993077209,0
A3000,6대광역시,202303,1,74.62487660414611,0
A5000,5대광역시,202303,1,75.06257822277848,0
A6000,8개도,202303,1,84.58120627717905,0
A9000,9개도,202303,1,80.3710501512972,0
11000,서울,202303,3,83.31545064377681,0
11A01,강북지역,202303,3,85.5098389982111,1
11A02,강남지역,202303,3,80.02680965147454,1
11A11,도심권,202303,3,84.63203463203463,2
11A12,동북권,202303,3,84.77406679764245,2
11A13,서북권,202303,3,87.03703703703704,2
11A14,서남권,202303,3,76.47058823529412,2
11A15,동남권,202303,3,85.71428571428572,2
26000,부산,202303,3,83.99999999999999,0
26A01,동부산권,202303,3,80.40540540540542,1
26A02,중부산권,202303,3,88.8888888888889,1
26A03,서부산권,202303,3,80,1
27000,대구,202303,3,79.19254658385093,0
28000,인천,202303,3,82.45341614906832,0
29000,광주,202303,3,84.6590909090909,0
30000,대전,202303,3,84.61538461538463,0
31000,울산,202303,3,80.39772727272727,0
36000,세종,202303,3,93.75,0
41000,경기,202303,3,79.21734531993654,0
41A01,서해안권,202303,3,75.27472527472527,1
41A02,경부1권,202303,3,77.4436090225564,1
41A03,경부2권,202303,3,86.33217993079585,1
41A04,경의권,202303,3,72.40663900414938,1
41A05,경원권,202303,3,86.77884615384616,1
41A06,동부1권,202303,3,82.49999999999999,1
41A07,동부2권,202303,3,75.00000000000001,1
42000,강원,202303,3,94.34782608695653,0
43000,충북,202303,3,88.23529411764706,0
44000,충남,202303,3,86.33540372670808,0
45000,전북,202303,3,81.57894736842105,0
46000,전남,202303,3,85.32934131736528,0
47000,경북,202303,3,95.32967032967032,0
48000,경남,202303,3,93.08035714285714,0
50000,제주,202303,3,81.13207547169812,0
A1000,전국,202303,3,83.13271604938271,0
A2000,수도권,202303,3,81.34657836644593,0
A2001,지방권,202303,3,86.16312942155639,0
A3000,6대광역시,202303,3,82.76353276353277,0
A5000,5대광역시,202303,3,82.85582255083179,0
A6000,8개도,202303,3,88.55761482675261,0
A9000,9개도,202303,3,82.91826309067687,0
11000,서울,202303,7,88.48837209302326,0
11A01,강북지역,202303,7,90.19607843137256,1
11A02,강남지역,202303,7,86,1
11A11,도심권,202303,7,90,2
11A12,동북권,202303,7,92.4,2
11A13,서북권,202303,7,86.42857142857143,2
